,Comp1,Comp2,Followers,Names,Gaussian,Spectral,Agglomerative,KMeans
338,0.0864983530885,-0.650611032107,8193.0,michael viqueira,2,0,1,1
339,-0.586424310857,-0.272430150773,4194.0,John O'Connor,2,2,1,1
340,0.285266219551,0.659367755377,48487.0,Mark Preston,2,0,0,1
341,-0.249344555815,-0.545109867853,5412.0,Judy Kurtz,2,2,1,1
342,-1.3309728762,0.567085549686,77722.0,Chris Stirewalt,1,2,1,0
343,0.627575298755,0.497432405067,24549.0,Jesse Rodriguez,0,0,0,2
344,0.385764580869,-0.765153163166,1776.0,Sean Geary Higgins,2,2,1,1
345,1.90306540824,0.678569918277,73230.0,Jennifer Epstein,0,0,0,2
346,1.62452452872,1.16138668617,70221.0,Garance Franke-Ruta,0,0,0,2
347,1.18277024216,0.519973486323,54657.0,Hadas Gold,0,0,0,2
348,1.74142220657,-1.0814546339,3462.0,Lauren Whittington,0,0,0,2
349,-0.796054495642,0.0749662919412,194424.0,Jonathan Karl,1,2,1,0
350,0.00806702117562,0.638030824491,65471.0,jodikantor,2,0,0,1
351,0.0368054517559,0.406068652236,124259.0,Brianna Keilar,2,0,0,1
352,-2.1899133149,0.0826847418534,911424.0,Fareed Zakaria,1,2,2,0
353,1.70120117437,0.788003562517,61919.0,(((JonathanWeisman))),0,0,0,2
354,0.0197196836815,-0.630116856393,5841.0,Jamie Novogrod,2,0,1,1
355,1.33461439047,0.6778689325,52718.0,Mark Leibovich,0,0,0,2
356,-0.429744302797,-0.686322614443,6245.0,Lloyd Grove,2,2,1,1
357,0.34220412987,0.381826667772,24430.0,ryan teague beckwith,2,0,0,1
358,-1.20566447227,-0.251576090139,6412.0,Stephanie Ebbert,1,2,1,0
359,-0.12622184985,-0.258208872355,9713.0,Jill Jackson,2,2,1,1
360,-1.90723947096,0.387515767936,1962034.0,Chuck Todd,1,2,2,0
361,0.701151432438,0.0851351962236,151366.0,Alex Burns,0,0,0,2
362,1.223543483,-0.979270135609,6581.0,Alex Bolton,0,0,0,2
363,-0.0403809652469,0.221370635843,175531.0,Ashley Parker,2,0,1,1
364,0.743829110086,-0.659844001392,9856.0,Rebecca Shabad,2,0,0,1
365,0.831920349652,-0.826293472393,4462.0,Jonathan Easley,2,0,0,1
366,-1.76274544573,0.0212676642533,428534.0,NYT Politics,1,2,2,0
367,-0.563867723964,0.55273564063,340581.0,Mark Halperin,1,2,1,1
368,0.666115571432,0.620915319686,111271.0,David Leonhardt,0,0,0,2
369,0.301033402995,0.0783871413741,19918.0,Abby Livingston,2,0,0,1
370,0.479851864615,-0.594724349659,9487.0,Patricia Zengerle,2,0,0,1
371,-0.38782761847,0.243360762118,174285.0,Kelly O'Donnell,2,2,1,1
372,-1.00631783704,-0.311385230192,4117.0,Lauren S. Camera,1,2,1,0
373,0.158986634272,-0.447963917971,14942.0,Scott Wilson,2,0,0,1
374,0.36755077532,0.299175788761,21493.0,Alex Pappas,2,0,0,1
375,-1.75921879813,0.118894965118,8070.0,Marc Fortier,1,2,2,0
376,-1.08093265071,-0.201965160455,11038.0,Ben Adler,1,2,1,0
377,-1.12762430856,-0.0577383259531,10768.0,Alexander Mooney,1,2,1,0
378,-0.383976679817,-0.125878237441,14231.0,Paul Steinhauser,2,2,1,1
379,0.183725049039,-0.447908091232,11990.0,Sam Youngman,2,0,1,1
380,0.861843052887,-0.0164862065349,25028.0,Alex Moe,0,0,0,2
381,0.581314948656,-0.352765075937,15622.0,Scott Conroy,2,0,0,1
382,0.651465572533,-0.229627118364,15442.0,Jill Lawrence,2,0,0,1
383,-0.0541923134483,-0.48660812415,4020.0,Jenna Sakwa,2,2,1,1
384,-0.49027376106,0.530713461665,132590.0,National Journal,2,2,1,1
385,-0.450842691946,0.508672840015,257387.0,Luke Russert,2,2,1,1
386,-0.533114657187,0.312867537502,101099.0,Mike Barnicle,2,2,1,1
387,2.40050633684,1.1476099991,103079.0,Jennifer Jacobs,0,0,0,2
388,2.11259416508,0.486045219316,110566.0,Jake Sherman,0,0,0,2
389,-2.38470832968,0.172633968242,1583691.0,Chris Hayes,1,2,2,0
390,1.79961421931,0.0421543807705,27795.0,Sean Sullivan,0,0,0,2
391,1.00960770932,0.625897473661,38808.0,David Chalian,0,0,0,2
392,0.109642283819,1.05083188661,49736.0,Felicia Sonmez,0,0,0,1
393,-1.98807311574,0.117744863669,13016.0,Peter Foster,1,2,2,0
394,-1.58893837464,0.686517081236,1698420.0,Jake Tapper,1,2,2,0
395,0.695004842206,0.267326384987,35399.0,Stuart Rothenberg,0,0,0,2
396,-1.56608810878,-0.140021208733,9494.0,Ben Leubsdorf,1,2,2,0
397,0.241743119171,0.504205168105,40538.0,Marc Caputo,2,0,1,1
398,-0.0359810219731,-0.560112871656,5912.0,Sarah Huisenga,2,0,1,1
399,-0.845647115558,0.280708002016,318040.0,Mark Knoller,1,2,1,0
400,-1.79836585712,-0.0514182117245,8067.0,Adam Beam,1,2,2,0
401,-2.7808284075,0.105729046875,2756641.0,Bill O'Reilly,1,2,2,0
402,0.16525412663,0.575764354066,42552.0,James Pindell,2,0,1,1
403,0.487485417153,-0.192246954882,15375.0,Meredith Shiner,2,0,0,1
404,-0.462450157334,-0.499320957629,2577.0,Mackenzie Weinger,2,2,1,1
405,0.926835519695,-0.793287655132,1910.0,Julie Sobel,0,0,0,1
406,-0.165220006068,0.0784562098081,19899.0,Jay Newton-Small,2,0,1,1
407,-0.367630009073,-0.422763506576,8778.0,Glen Johnson,2,2,1,1
408,1.48416491565,-0.910143849634,5650.0,Rebecca Kaplan,0,0,0,2
409,1.6360821764,-1.24256488497,3456.0,Brooke Brower,0,0,0,2
410,-1.82866420344,-0.0911230928947,8296.0,2016 Iowa Caucuses,1,2,2,0
411,-0.0560558858759,-0.565317397515,1856.0,Nikole Killion,2,2,1,1
412,1.28054334681,0.363595883038,34320.0,Jackie Kucinich,0,0,0,2
413,0.248927037075,0.312473589299,298057.0,Ben Smith,2,0,0,1
414,1.20747383789,1.35299249249,72173.0,Chad Pergram,0,0,0,2
415,-0.372495133715,-0.564579323126,3185.0,Kate Tummarello,2,2,1,1
416,-0.298533846801,0.632248862124,87033.0,Jim Geraghty,2,2,0,1
417,0.750613497521,-0.597857984028,10838.0,Emily Schultheis,2,0,0,1
418,-2.73095950201,0.110336980556,2824585.0,Christiane Amanpour,1,1,2,0
419,-1.14878773706,-0.225092565159,2674.0,Jon Resnick DJI,1,2,1,0
420,0.851133798451,0.188382943271,27482.0,jimrutenberg,0,0,0,2
421,-1.0812816065,-0.314581567996,10244.0,jack healy,1,2,1,0
422,0.555529432779,-0.424472419523,17475.0,Steve Holland,2,0,0,1
423,-0.205242003386,-0.27116667809,14640.0,Pema Levy,2,0,1,1
424,0.894703732653,0.14776614876,148910.0,Nick Confessore,0,0,0,2
425,-0.470798758775,-0.350059039865,7165.0,Drew Cline,2,2,1,1
426,0.449924132301,-0.286257172955,13487.0,Ginger Gibson,2,0,0,1
427,-0.92951187209,0.487513987191,192021.0,Norah O'Donnell🇺🇸,1,2,1,0
428,0.556036908558,-0.623813105858,7853.0,Sarah Mimms,2,0,0,1
429,-1.81027490196,-0.209951627205,2475.0,Ryan Murphy,1,2,2,0
430,1.36942183191,-0.62695595409,15142.0,Lisa Lerer,0,0,0,2
431,0.680546381201,0.63392428212,208796.0,Zeke Miller,0,0,0,2
