	K-means	Spectral	Aggl. Ward	Aggl. Avg	Aggl. Cmpl
0	0.2639094516886899	0.2671962506578107	0.24665850973101452	0.25866181850203074	0.26149283855582345
1	0.16909969801358965	0.17382268348023425	0.1606972849567951	0.19077303434427006	0.16475980453149344
2	0.1490401602309965	0.14703692550619382	0.1356711309536931	0.15841939798502971	0.1364085288685676
3	0.12476198432932195	0.11954958540887087	0.12086132046121884	0.1496167948905778	0.1280492369634812
4	0.11369969839815647	0.10430732306771896	0.09405636953973448	0.11049278143937649	0.12378816952241033
5	0.11253338284052632	0.11519760816589308	0.09729591273419039	0.11381750296384922	0.08177666628578341
6	0.10616981371461366	0.11883797605462701	0.09883896267166756	0.11046024143604208	0.07011783830213857
7	0.09243374286360748	0.10111803740517751	0.0954732120799441	0.09565246888383616	0.06393866305408713
8	0.10316519668863076	0.09933517891114298	0.09985845158748008	0.09657716841381264	0.050112452770492144
9	0.09104065698462377	0.09125745455326927	0.08158036866429595	0.09401789840800256	0.053955554754760784
10	0.09787584461460412	0.08192544442160477	0.08250442956300716	0.09137325717909246	0.05651755552690676
11	0.07752508594089945	0.08342546498691973	0.073819858069117	0.08427234184064769	0.05183992820357009
12	0.08120223578437706	0.08192749648883153	0.07465282792759567	0.08177522531500019	0.053215574315040724
13	0.07325624974875539	0.08577301107662019	0.0677185199389402	0.08622717022051596	0.05390827804665019
14	0.07213491352872743	0.061117141433051636	0.06936938825018049	0.08259121983287449	0.05188785577296563
15	0.07206367327720258	0.060259253986347766	0.06793712955489116	0.07270848295015679	0.0531303362360622
16	0.06781940079559366	0.06544591256290198	0.06502403423157965	0.0755066721489906	0.05435099376713745
17	0.07794332776123397	0.06250846300797429	0.06602492902163683	0.07309380737316205	0.05672768899417323
